year,KHPV,KFPV,KGV,KNPV,LANDT,SHARETV,SHARETV_ASSET,FASSTV,FLIABV,SBCV,LANDV_HH,SHAREV_HH,GOVGFCF_FY
1994,360954.4,649392.6,537836.0,72112.7,1965982.9000000001,512071.4,477068.10000000003,259406.30000000002,181188.40000000002,78217.90000000001,1152544.0,130971.40000000001,31986.4
1995,362515.8,655649.6000000001,559067.8,68288.8,1880393.5,513682.2,470494.9,284498.8,200426.80000000002,84072.0,1102962.0,128776.70000000001,33816.2
1996,379462.2,675339.5,586525.7,67982.5,1845380.3,498833.9,453035.5,317289.30000000005,213930.5,103358.8,1085517.3,118755.90000000001,33117.100000000006
1997,385610.1,688815.9999999999,606383.1,68940.8,1807331.8,389348.30000000005,349184.4,366084.9,241498.1,124586.8,1077073.0,86465.8,31083.3
1998,381653.1,687141.9,613576.3,69380.0,1736931.6,371091.4,333305.0,352593.9,219320.90000000002,133273.0,1050260.7,80110.8,31938.4
1999,380830.8,684255.7,623533.0,65361.9,1661726.9000000001,638566.3,537813.7000000001,322359.4,237624.40000000002,84735.0,1022347.1000000001,138154.5,31322.8
2000,383484.8,688547.0,639374.1,63496.100000000006,1580214.1,510250.0,434801.7,354988.80000000005,221941.80000000002,133047.0,971846.7000000001,118069.3,29076.6
2001,380328.1,682044.0000000001,642479.2,62049.5,1487627.2000000002,408929.2,350962.0,388429.4,209172.40000000002,179257.0,916667.2000000001,89292.8,27387.4
2002,378123.0,674150.5,647799.2,59741.8,1405126.4000000001,366433.10000000003,317806.2,378538.30000000005,203230.30000000002,175308.0,862241.3,82354.40000000001,26003.1
2003,380659.89999999997,672399.7000000002,661731.7,59133.200000000004,1331776.5,503285.9,430765.0,395045.7,222227.7,172818.0,813600.5,104872.90000000001,23355.1
2004,384698.7,676535.7000000002,674200.7,61356.200000000004,1269901.5,579263.0,487155.0,443167.30000000005,257370.30000000002,185797.0,774286.1000000001,119040.1,21387.6
2005,388113.60000000003,691463.8999999999,685960.3,63527.600000000006,1252115.5,913997.5,757590.2000000001,527397.7000000001,345517.0,181880.7,759064.9,200117.1,20730.5
2006,397962.89999999997,707461.6000000003,697091.7999999999,64850.9,1269872.3,945803.5,770287.4,582328.7000000001,366036.4,216292.30000000002,771831.3,199008.1,19458.9
2007,403714.8,721595.0999999999,714652.2,69070.0,1302972.9000000001,751127.2000000001,581017.4,637984.8,386602.9,251381.90000000002,790680.1000000001,140890.2,18380.7
2008,408286.1,729267.6999999998,727853.2999999999,68793.1,1287790.2000000002,431005.30000000005,347608.0,551809.2000000001,324933.60000000003,226875.6,765438.3,84773.0,17950.1
2009,390828.0,702236.5,709816.2,62920.3,1232011.7,453414.10000000003,361033.5,586348.0,317088.10000000003,269259.9,734333.7000000001,91888.90000000001,19286.0
2010,387549.7,692468.1000000001,717108.6,62503.0,1199541.1,488353.0,390708.30000000005,588803.1,331917.10000000003,256886.0,715306.0,101672.90000000001,17907.7
2011,381362.2,685303.8999999999,720298.8,63883.5,1169216.8,423097.80000000005,342056.4,611066.4,344269.80000000005,266796.60000000003,695234.8,91538.6,17716.3
2012,376279.69999999995,682585.1000000001,718865.5,65369.200000000004,1148142.4000000001,505814.80000000005,405055.5,697985.4,397423.10000000003,300562.3,683604.4,106053.40000000001,17540.8
2013,387618.60000000003,693625.0,738486.1,67315.1,1134377.1,789253.0,618198.2000000001,826322.8,499357.2,326965.60000000003,678046.4,154810.4,19948.399999999998
2014,397074.2,705006.5,761363.0,65677.8,1142062.0,863513.5,673964.8,915944.1000000001,563297.4,352646.7,680790.4,162918.80000000002,19988.7
2015,396088.3,712523.5,767836.7,64152.0,1150881.4000000001,971026.4,761795.9,930731.3,602009.6,328721.7,683510.6000000001,175374.0,19331.9
2016,395649.89999999997,715427.5,773140.3,64129.0,1179001.6,943224.0,739920.2000000001,978883.9,640868.6000000001,338015.30000000005,698301.4,167943.40000000002,19452.7
2017,402402.8,727985.5,788262.6000000001,67560.6,1196379.4000000001,1187114.3,939925.3,1015918.1000000001,684690.9,331227.2,703291.3,210471.7,20017.0
2018,405222.5,741975.3,802646.4,70326.0,1219518.8,964240.9,764583.9,1014551.4,670987.9,343563.5,709680.5,174557.2,20551.399999999998
2019,414512.6,752743.0999999997,829492.8,71007.6,1244937.8,1061963.8,826206.1000000001,1089107.0,729668.8,359438.2,722448.2000000001,187189.1,21665.899999999998
2020,409819.4,748752.4999999999,829171.8,67868.1,1264550.1,1077251.7,826598.8,1149426.3,787311.8,362114.5,722493.7000000001,179279.7,22951.1
2021,444573.7,777200.6000000001,866379.6000000001,75485.5,1279138.6,1227847.9000000001,955426.8,1259511.7000000002,838034.2000000001,421477.5,729725.1000000001,221946.5,22144.9
2022,454751.2,813843.0,905056.9,86640.6,1309389.0,1126787.7,870254.5,1323133.9000000001,901331.8,421802.10000000003,747317.6000000001,200536.2,21568.3
